id,user_id,course_id,enrollment_mode,is_active,weeks_since_enrollment,mooc_grade_percentage,mooc_letter_grade,mooc_is_passed,progress_percent,current_chapter,current_section,current_unit,mooc_completion_rate,overall_completion,completed_blocks,total_blocks,last_activity,days_since_last_activity,access_frequency,active_days,h5p_total_contents,h5p_completed_contents,h5p_total_score,h5p_total_max_score,h5p_overall_percentage,h5p_total_time_spent,h5p_completion_rate,video_total_videos,video_completed_videos,video_in_progress_videos,video_total_duration,video_total_watched_time,video_completion_rate,video_watch_rate,quiz_attempts,h5p_avg_score,quiz_completion_rate,forum_posts,forum_comments,forum_upvotes,discussion_threads_count,discussion_comments_count,discussion_total_interactions,discussion_questions_count,discussion_total_upvotes,relative_to_course_problem_score,relative_to_course_completion,relative_to_course_video_completion,relative_to_course_discussion,performance_percentile,is_below_course_average,is_top_performer,is_bottom_performer,updated_at,extraction_batch_id,is_passed
5260,200,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,99.41,0.0,0,0,,115,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5372,368,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,98.82,0.0,0,0,,120,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5305,254,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,99.41,0.0,0,0,,127,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5213,151,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,28.0,0.0,,,0.0,,,,99.41,0.0,0,0,,122,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5332,288,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,99.41,0.0,0,0,,121,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5444,595,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,99.41,0.0,0,0,,122,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5415,463,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,98.24,0.0,0,0,,132,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5354,340,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,100.0,0.0,0,0,,92,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5394,409,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,99.41,0.0,0,0,,120,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5195,132,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,28.0,0.0,,,0.0,,,,99.41,0.0,0,0,,120,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5300,249,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,98.82,0.0,0,0,,126,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
5456,643,course-v1:DHQG-HCM+ST101+2025_S2,audit,1,27.0,0.0,,,0.0,,,,99.41,0.0,0,0,,116,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,populate_20260317_102357,1
